iter	Logloss
0	0.6316202641
1	0.5862600327
2	0.548660326
3	0.5186467171
4	0.4811092377
5	0.4642446995
6	0.4371837616
7	0.4209396839
8	0.4039515972
9	0.3888658524
10	0.3746913433
11	0.3615885019
12	0.3483079433
13	0.3341398001
14	0.3277183533
15	0.3185810566
16	0.3117677212
17	0.3035772562
18	0.2978309155
19	0.2907917023
20	0.2846678734
21	0.2782775879
22	0.2676755905
23	0.2597688437
24	0.2537243366
25	0.2452201366
26	0.2387746096
27	0.2342164516
28	0.2295320034
29	0.2256222486
30	0.2203848124
31	0.2165219784
32	0.2099076033
33	0.2067536831
34	0.2033388853
35	0.2002568245
36	0.1961711407
37	0.19283638
38	0.1892954588
39	0.1849905014
40	0.1832329988
41	0.1800017357
42	0.1769944191
43	0.1733957529
44	0.1716665268
45	0.1676496983
46	0.1640315175
47	0.1596335411
48	0.1569500089
49	0.1537518024
50	0.150099504
51	0.147496891
52	0.1460009336
53	0.1433343649
54	0.1417441845
55	0.1396925092
56	0.1377486706
57	0.1342222214
58	0.1329432011
59	0.1312773824
60	0.1306280136
61	0.1299920559
62	0.1264346361
63	0.1245090246
64	0.124025774
65	0.1206609845
66	0.1189883709
67	0.1164944887
68	0.113949275
69	0.1132698059
70	0.1115028143
71	0.1099088907
72	0.1085288405
73	0.1065510392
74	0.1060625076
75	0.104396081
76	0.1036157489
77	0.1034322023
78	0.1004954338
79	0.1003335714
80	0.09850530624
81	0.09726510048
82	0.09714735746
83	0.09658632874
84	0.09351799488
85	0.09138566256
86	0.09067906141
87	0.09020825624
88	0.09002660513
89	0.08801380396
90	0.08537370563
91	0.08438163996
92	0.08192108274
93	0.08137583137
94	0.08011900187
95	0.07954781055
96	0.07807139754
97	0.07778978348
98	0.0759631753
99	0.07564908266
100	0.07459892035
101	0.07372218966
102	0.07294681668
103	0.07285523415
104	0.07237184644
105	0.07034578919
106	0.06914173961
107	0.06686527729
108	0.06638948917
109	0.06570653915
110	0.06453139782
111	0.0634868145
112	0.06338407993
113	0.06300564408
114	0.06206250787
115	0.06177170277
116	0.06170958281
117	0.06082327366
118	0.05990805626
119	0.05948286057
120	0.05771313906
121	0.05764725804
122	0.05683304071
123	0.05562979579
124	0.0555406332
125	0.05462241173
126	0.05455938578
127	0.05449566841
128	0.0543397963
129	0.05392099619
130	0.05371155739
131	0.05313616991
132	0.05308214426
133	0.052148664
134	0.05204544067
135	0.05197160244
136	0.05143447518
137	0.05127506256
138	0.05068066716
139	0.05013970733
140	0.05010040402
141	0.04982673824
142	0.04976164699
143	0.04919413328
144	0.04890323877
145	0.04822465181
146	0.04777872562
147	0.04616620243
148	0.04585925043
149	0.04503358901
150	0.04500416219
151	0.04388320148
152	0.04376264513
153	0.0437328279
154	0.04326003492
155	0.04280335307
156	0.04263216257
157	0.04194411933
158	0.04101622105
159	0.04097991288
160	0.04063375294
161	0.03974007368
162	0.03950513303
163	0.03947860003
164	0.03945191205
165	0.03931897283
166	0.03898293376
167	0.03895737231
168	0.03891745806
169	0.03842802644
170	0.03815070987
171	0.03778702915
172	0.03737018704
173	0.03706564903
174	0.03701038063
175	0.03695253134
176	0.03693106174
177	0.03689851761
178	0.03687828779
179	0.03614652157
180	0.03580128551
181	0.03548567593
182	0.03507573009
183	0.03452007771
184	0.03396883607
185	0.03379484415
186	0.03327135742
187	0.03325210214
188	0.03292189538
189	0.03234351873
190	0.03203619123
191	0.03170515001
192	0.03156540394
193	0.03120159507
194	0.0309484899
195	0.03061107397
196	0.03027768135
197	0.03007761836
198	0.02995685041
199	0.02992622852
200	0.02991124988
201	0.02967011929
202	0.02922985256
203	0.02912429571
204	0.02910730839
205	0.0286534816
206	0.02862010002
207	0.02831202149
208	0.0279348284
209	0.02786943316
210	0.02785760462
211	0.027552706
212	0.02754008174
213	0.02740754187
214	0.02715683579
215	0.0270968914
216	0.02708359361
217	0.02681076527
218	0.0266666472
219	0.02636152506
220	0.02606954277
221	0.02596540451
222	0.02578704655
223	0.02572559118
224	0.02551124096
225	0.02549906969
226	0.02525272965
227	0.02491630763
228	0.02463076264
229	0.02448628843
230	0.02430100292
231	0.02403247654
232	0.02392937243
233	0.02392010093
234	0.0238807112
235	0.02364120632
236	0.02356202751
237	0.02344138026
238	0.02341806889
239	0.02320133597
240	0.02319158614
241	0.02299534976
242	0.02299210131
243	0.02294353843
244	0.0225119397
245	0.02220850587
246	0.02220356166
247	0.02216103822
248	0.02214208692
249	0.02184484154
250	0.02182943821
251	0.02177024782
252	0.02176994681
253	0.02174590528
254	0.0217458576
255	0.02171778977
256	0.02157588601
257	0.0215646863
258	0.02153992951
259	0.02149643898
260	0.02148602754
261	0.02113356441
262	0.02087659836
263	0.02086877972
264	0.02086870968
265	0.02072739005
266	0.02062115073
267	0.02062063813
268	0.020609124
269	0.02060256153
270	0.02042105198
271	0.02036315799
272	0.02011695504
273	0.02008194625
274	0.02008185238
275	0.01985575706
276	0.01965974718
277	0.0196478337
278	0.0196312353
279	0.01954804957
280	0.01953911483
281	0.01926921606
282	0.01926926076
283	0.01905273795
284	0.01897442937
285	0.01881342232
286	0.0187561512
287	0.01875608861
288	0.01858359277
289	0.01834709942
290	0.01834677607
291	0.01817021966
292	0.01808701307
293	0.01807927489
294	0.01793208867
295	0.01793214083
296	0.01775812209
297	0.0177503705
298	0.01748291254
299	0.0174780637
